objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement,top_category,sub_category
436,annesiyle.jpeg,,"Mehmet Genç, Annesi Hatice Genç Hanımefendi İle Birlikte",Berk Özkaya,1970,Mehmet Genç'in Annesiyle Çekilen Bir Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-437,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
437,ailesiyle.jpeg,,"Mehmet Genç Annesi Hatice Genç, Ağabeyi Mithat Genç ve Halası Asiye Toraman İle Birlikte",Berk Özkaya,1970,Mehmet Genç'in Aile Üyeleriyle Çekilen Bir Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-438,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
438,aile.jpeg,,"Mehmet Genç, Annesi Hatice Genç ve Halası Asiye Toraman Hanımefendilerle Birlikte",Berk Özkaya,1970,Mehmet Genç'in Ailesiyle Çekilen Bir Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-439,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
435,yeğeniyle.jpeg,,"Mehmet Genç, Yeğeni Tonguç Yücel Genç İle Birlikte",Berk Özkaya,1972,Mehmet Genç'in Yeğeni İle Çekilen Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-436,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
75,malikanesistemi.pdf,,Osmanlı Maliyesinde Malikâne Sistemi,Mehmet Genç Gönüllüsü,1975,Osmanlı Maliyesinde Malikâne Sistemi,Bildiri;İktisat;Maliye;Vergi;Malikane Sistemi,Ankara,39.9753847,32.75741589,MG-75,"Osman Okyar-Ünal Nalbantoğlu ed., Türkiye İktisat Tarihi Semineri, Metinler/Tartışmalar (8-l0 Temmuz 1973), Hacettepe Üniversitesi Yayınları, 231-296",Döküman,application/pdf,tr,http://www.library.hacettepe.edu.tr/books/,,Akademik,Konferans ve Bildiriler
90,seminer.jpg,,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Mehmet Genç Gönüllüsü,1977,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Seminer;İktisat;İktisadi Politika;Maliye;Vergi;Dönemler;Modern;Yüzyıllar;19.Yy,"Ankara,Çankaya;Hacettepe Üniversitesi",39.87094089,32.73469016,MG-90,"Hacettepe Üniversitesi, Uluslararası Türkiye İktisadi ve Sosyal Tarih Semineri",Görüntü,image/jpg,tr,https://www.hacettepe.edu.tr,,Akademik,Konferans ve Bildiriler
56,cipolla.pdf,,"Cipolla, Dünya Nüfusunun İktisat Tarihi",Mehmet Genç Gönüllüsü,1980,"Cipolla, Dünya Nüfusunun İktisat Tarihi",Çeviri;İktisat;Kişiler;Carlo M. Cipollo;Mehmet Sırrı Gezgin;Eserleri,İstanbul,41.1292562,28.88335172,MG-56,Ötüken Yayınları,Döküman,application/pdf,tr,,,Akademik,Yazılı Eserler
82,mali.pdf,,18. Yüzyılın İkinci Yarısında Osmanlı İmparatorluğu'ndaki Ticari ve Sınai Faaliyetlerin Hacmi ile Malikâne Sistemine Ait Verilerin Karşılaştırmalı Bir İncelemesi,Mehmet Genç Gönüllüsü,1980,18. Yüzyılın İkinci Yarısında Osmanlı İmparatorluğu'ndaki Ticari ve Sınai Faaliyetlerin Hacmi ile Malikâne Sistemine Ait Verilerin Karşılaştırmalı Bir İncelemesi,Kitap Bölümü;İktisat;İktisadi Faaliyet;Maliye;Yüzyıllar;18.Yy;Malikane;Çeviri,Atina,37.9831,23.7329,MG-82,19. Yüzyılda Balkanlar'da Modernleşme ve Sanayi Devrimi (Yunanca),Döküman,application/pdf,gre,https://www.academia.edu/7838692/18_yya_Ait_Osmanlı_Mali_Verilerinin_İktisadi_Faliyetin_Göstergesi_Olarak_Kullanılabilirliği_Üzerinde_Bir_Çalışma_In_Greek_,,Akademik,Yazılı Eserler
84,seminer.jpg,,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Mehmet Genç Gönüllüsü,1980,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Seminer;İktisat;Sanayii;Yüzyıllar;19.Yy,"İstanbul,Fatih;İstanbul Üniversitesi;Ziraat Bankası",41.01005056,28.96054028,MG-84,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi ve Ziraat Bankası, Mithat Paşa Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,Akademik,Konferans ve Bildiriler
85,seminer.jpg,,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Mehmet Genç Gönüllüsü,1981,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Seminer;İktisat;Sanayii;Sanayii Politikası;Ticaret;İhracat;Yüzyıllar;18.Yy;19.Yy,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,MG-85,"Boğaziçi Üniversitesi, Sanayileşme ve Dış Ticaret Semineri",Görüntü,image/jpg,tr,http://www.boun.edu.tr,,Akademik,Konferans ve Bildiriler
86,seminer.jpg,,Türkiye İktisat Tarihinde Tanzimatın Yeri,Mehmet Genç Gönüllüsü,1984,Türkiye İktisat Tarihinde Tanzimatın Yeri,Seminer;Tarihçilik;İktisat Tarihçiliği;Tanzimat;Ülkeler;Türkiye,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-86,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi, Tanzimat Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,Akademik,Konferans ve Bildiriler
